ax,ay,az,gx,gy,gz
4.702,-7.131,-2.647,-0.735,0.52,0.167
4.552,-7.276,-3.058,-0.713,0.575,-0.058
4.415,-7.711,-3.523,-0.664,0.587,-0.244
4.224,-8.332,-3.887,-0.592,0.537,-0.364
4.249,-8.98,-4.269,-0.496,0.453,-0.404
4.431,-9.408,-4.506,-0.383,0.231,-0.375
4.677,-9.523,-4.631,-0.255,0.007,-0.271
4.997,-9.233,-4.47,-0.13,-0.156,-0.137
5.385,-8.665,-4.106,-0.01,-0.317,-0.029
5.579,-7.97,-3.628,0.097,-0.462,0.037
5.514,-7.386,-3.135,0.195,-0.547,0.034
5.205,-7.237,-2.666,0.28,-0.531,-0.053
4.868,-7.548,-2.253,0.327,-0.466,-0.186
4.535,-8.214,-1.975,0.323,-0.357,-0.306
4.285,-9.134,-1.742,0.272,-0.232,-0.377
4.242,-10.054,-1.532,0.186,-0.085,-0.36
4.403,-10.66,-1.285,0.074,-0.003,-0.255
4.558,-10.842,-1.072,-0.051,0.056,-0.093
4.796,-10.579,-0.924,-0.187,0.097,0.083
5.047,-9.901,-0.843,-0.321,0.118,0.229
5.153,-9.067,-0.87,-0.447,0.128,0.303
5.164,-8.303,-1.091,-0.539,0.218,0.283
5.234,-7.769,-1.409,-0.603,0.283,0.192
5.15,-7.548,-1.833,-0.626,0.33,0.064
4.963,-7.639,-2.312,-0.606,0.393,-0.068
4.801,-7.916,-2.827,-0.547,0.437,-0.174
4.683,-8.425,-3.28,-0.464,0.406,-0.241
4.737,-9.002,-3.689,-0.361,0.342,-0.261
4.955,-9.402,-3.929,-0.261,0.235,-0.231
5.292,-9.526,-3.95,-0.183,0.073,-0.151
5.581,-9.351,-3.779,-0.124,-0.119,-0.049
5.766,-8.905,-3.48,-0.094,-0.305,0.041
5.813,-8.283,-3.064,-0.08,-0.461,0.097
5.667,-7.734,-2.606,-0.056,-0.571,0.089
5.352,-7.441,-2.264,-0.001,-0.571,0.01
5.027,-7.556,-1.985,0.065,-0.491,-0.117
4.755,-8.006,-1.759,0.117,-0.373,-0.239
4.503,-8.704,-1.595,0.14,-0.223,-0.335
4.48,-9.532,-1.461,0.109,-0.095,-0.376
4.553,-10.218,-1.357,0.02,0.001,-0.346
4.852,-10.547,-1.272,-0.115,0.036,-0.246
5.154,-10.385,-1.228,-0.255,0.029,-0.102
5.444,-9.841,-1.213,-0.376,0.01,0.053
5.583,-9.042,-1.303,-0.467,0.004,0.179
5.614,-8.265,-1.435,-0.521,0.026,0.239
5.507,-7.671,-1.663,-0.537,0.12,0.229
5.342,-7.416,-1.971,-0.528,0.22,0.149
5.075,-7.499,-2.347,-0.516,0.321,0.028
4.879,-7.842,-2.766,-0.504,0.43,-0.101
4.871,-8.321,-3.157,-0.484,0.443,-0.202
5.022,-8.814,-3.551,-0.442,0.391,-0.261
5.317,-9.156,-3.808,-0.386,0.285,-0.255
5.63,-9.2,-3.923,-0.317,0.14,-0.19
5.958,-8.947,-3.783,-0.23,-0.043,-0.095
6.167,-8.491,-3.498,-0.142,-0.193,-0.007
6.207,-7.96,-3.108,-0.075,-0.311,0.058
6.054,-7.544,-2.708,-0.027,-0.366,0.071
5.812,-7.409,-2.391,0.021,-0.355,0.024
5.487,-7.593,-2.212,0.062,-0.294,-0.053
5.158,-7.984,-2.11,0.096,-0.224,-0.131
4.853,-8.561,-2.003,0.129,-0.148,-0.204
4.76,-9.174,-1.901,0.148,-0.064,-0.257
4.858,-9.721,-1.738,0.123,-0.018,-0.27
5.055,-9.985,-1.536,0.055,0.018,-0.238
5.384,-9.958,-1.34,-0.051,0.033,-0.157
5.716,-9.601,-1.201,-0.175,0.032,-0.035
5.997,-9.105,-1.092,-0.29,0.032,0.1
6.119,-8.48,-1.112,-0.378,0.046,0.21
6.075,-8.0,-1.285,-0.433,0.106,0.267
5.829,-7.763,-1.609,-0.45,0.179,0.248
5.53,-7.76,-1.955,-0.441,0.246,0.161
5.276,-7.904,-2.271,-0.425,0.267,0.042
5.027,-8.2,-2.614,-0.398,0.279,-0.069
4.857,-8.62,-2.824,-0.349,0.251,-0.166
4.953,-9.038,-2.891,-0.299,0.23,-0.242
5.283,-9.246,-2.868,-0.262,0.2,-0.267
5.667,-9.222,-2.8,-0.224,0.132,-0.228
6.063,-8.967,-2.574,-0.182,0.039,-0.152
6.47,-8.51,-2.327,-0.145,-0.068,-0.065
6.624,-7.993,-2.068,-0.12,-0.182,0.015
6.481,-7.705,-1.891,-0.095,-0.279,0.06
6.087,-7.678,-1.766,-0.063,-0.298,0.04
5.699,-7.904,-1.691,-0.022,-0.27,-0.017
5.256,-8.355,-1.647,0.01,-0.208,-0.091
5.019,-8.907,-1.574,0.031,-0.115,-0.158
4.957,-9.454,-1.455,0.025,-0.053,-0.204
5.098,-9.791,-1.297,-0.016,-0.011,-0.207
5.341,-9.851,-1.124,-0.101,0.01,-0.177
5.764,-9.583,-0.942,-0.204,0.01,-0.105
6.066,-9.095,-0.818,-0.313,-0.024,-0.01
6.24,-8.468,-0.793,-0.417,0.001,0.071
6.263,-7.977,-0.93,-0.509,0.056,0.106
