ax,ay,az,gx,gy,gz
-0.604,-7.359,-5.752,-0.111,-0.037,-0.039
1.815,-12.502,-6.258,-0.851,0.512,-0.216
2.514,-15.226,-4.994,-1.182,0.989,-0.513
6.172,2.554,0.736,-4.113,1.78,2.461
4.615,6.427,-2.084,-3.674,1.328,2.499
7.206,11.012,-3.432,-2.8,1.005,2.434
7.847,12.597,-5.569,-1.777,-0.13,1.728
6.776,9.122,-8.026,-0.134,-1.155,0.136
5.536,4.15,-8.588,0.69,-1.242,-1.272
6.23,5.477,-7.906,0.95,-1.383,-1.481
-0.151,-4.107,-5.909,1.783,-1.306,-1.135
0.299,-6.146,-5.425,1.608,-1.183,-0.752
-0.052,-7.361,-5.419,1.328,-1.194,-0.366
-0.115,-8.481,-5.572,1.032,-0.796,-0.048
-0.487,-10.439,-6.224,0.317,0.027,0.031
