ax,ay,az,gx,gy,gz
-2.619,-6.542,-2.178,-0.118,-0.359,0.254
-1.83,-5.15,-1.811,-0.043,-0.535,0.693
-1.203,-0.346,-0.656,-0.002,-0.916,2.825
-2.817,2.267,0.014,-0.137,-0.926,4.261
-5.675,4.588,0.492,-0.387,-0.969,5.607
-11.07,5.992,1.18,-0.855,-1.051,6.392
-22.046,5.747,0.799,-1.333,-1.316,5.541
-40.77,11.553,8.707,-2.464,0.96,-3.779
-17.282,21.93,6.847,-1.652,1.303,-5.673
-8.896,17.793,3.176,-0.943,0.496,-3.43
-2.541,9.608,-0.594,-0.357,-0.048,-0.952
-4.654,-1.214,-1.484,0.501,-0.191,2.904
-7.654,-5.527,1.126,1.003,-0.408,3.419
-11.866,-6.887,1.484,1.469,-0.079,2.154
-12.722,-7.125,1.197,1.31,0.324,1.5
