ax,ay,az,gx,gy,gz
10.048,-0.388,2.009,-0.034,0.002,-0.012
9.895,-0.098,1.879,-0.034,0.002,-0.014
9.984,-0.294,1.918,-0.033,0.0,-0.019
9.95,-0.285,1.925,-0.035,0.001,-0.01
9.876,-0.11,1.884,-0.034,-0.0,-0.016
9.989,-0.33,1.985,-0.034,0.001,-0.017
9.895,-0.177,1.867,-0.034,0.0,-0.012
9.914,-0.201,1.906,-0.033,-0.001,-0.019
9.993,-0.326,1.961,-0.034,0.0,-0.015
9.929,-0.141,1.87,-0.034,0.0,-0.014
10.022,-0.287,1.946,-0.034,0.001,-0.015
9.869,-0.388,1.92,-0.032,0.018,-0.027
9.649,-0.464,2.061,-0.035,-0.003,-0.006
10.151,-0.206,1.93,-0.036,-0.008,-0.013
10.262,-0.266,1.975,-0.035,-0.002,-0.017
9.883,-0.211,1.958,-0.036,0.0,-0.018
9.708,-0.211,1.815,-0.033,-0.003,-0.02
9.931,-0.215,2.009,-0.033,-0.001,-0.018
10.161,-0.175,1.865,-0.034,0.001,-0.01
10.027,-0.235,1.899,-0.033,0.001,-0.018
9.799,-0.259,1.908,-0.035,0.003,-0.013
9.809,-0.218,1.889,-0.033,-0.001,-0.016
10.048,-0.273,1.975,-0.034,-0.0,-0.014
10.039,-0.204,1.925,-0.034,0.0,-0.015
9.934,-0.242,1.906,-0.033,0.001,-0.018
9.914,-0.316,1.93,-0.034,0.001,-0.013
9.946,-0.192,1.896,-0.034,-0.001,-0.013
10.027,-0.232,1.949,-0.034,0.0,-0.015
9.936,-0.22,1.911,-0.035,0.002,-0.014
9.871,-0.213,1.908,-0.035,0.0,-0.017
9.931,-0.263,1.932,-0.034,0.001,-0.014
9.969,-0.206,1.899,-0.034,0.001,-0.014
9.965,-0.232,1.949,-0.034,0.0,-0.016
9.967,-0.445,1.92,-0.035,0.001,-0.009
9.914,-0.129,1.865,-0.033,-0.002,-0.017
10.18,-0.414,1.927,-0.034,0.001,-0.016
9.898,-0.151,1.887,-0.035,0.002,-0.014
9.955,-0.362,1.927,-0.035,-0.001,-0.018
9.922,-0.163,1.891,-0.037,-0.001,-0.012
9.972,-0.192,1.944,-0.035,-0.001,-0.018
9.977,-0.309,1.927,-0.036,0.0,-0.013
9.828,-0.12,1.887,-0.034,0.001,-0.013
9.938,-0.271,1.915,-0.034,-0.001,-0.015
9.955,-0.225,1.946,-0.035,0.001,-0.012
9.934,-0.105,1.872,-0.034,0.001,-0.017
9.984,-0.311,1.956,-0.034,0.001,-0.017
9.902,-0.141,1.913,-0.029,-0.019,-0.024
9.929,-0.213,1.882,-0.026,-0.007,-0.021
10.022,-0.227,1.87,-0.02,-0.014,-0.023
10.111,-1.358,0.46,-0.011,0.135,0.069
9.888,0.206,3.879,-0.304,0.387,-0.199
10.24,1.245,1.446,0.059,0.414,-0.334
9.421,0.113,2.476,0.788,0.288,-0.256
10.472,-0.335,2.471,0.469,-0.171,-1.641
11.957,2.775,1.966,0.261,-0.233,-1.33
11.073,2.119,2.555,0.171,0.161,0.855
10.211,1.326,2.042,0.339,-0.441,0.565
10.027,0.713,1.951,0.347,-0.876,1.155
9.081,-0.309,1.264,0.124,-0.304,0.543
11.571,0.347,0.939,0.011,-0.009,0.639
9.625,-0.237,1.489,0.058,-0.613,1.238
11.655,-0.654,1.417,0.177,-1.803,1.496
8.95,-1.437,0.651,0.367,-3.683,1.815
7.757,-2.425,-1.353,0.368,-3.862,1.903
7.077,-4.348,-3.419,0.608,-3.584,1.131
4.463,-4.444,-4.784,0.22,-2.21,0.596
6.507,-5.136,-5.902,0.175,-1.342,-0.152
5.246,-4.805,-6.316,0.231,-1.944,0.499
5.365,-5.112,-6.505,0.25,-1.805,0.306
3.211,-5.499,-6.309,0.299,-2.345,0.268
4.398,-6.081,-6.266,0.149,-1.616,0.091
0.371,-5.612,-7.429,-0.149,-0.711,0.768
1.319,-5.581,-8.303,0.064,-0.276,-0.013
1.657,-5.648,-6.656,0.012,-0.491,0.093
1.343,-5.557,-8.231,0.07,0.194,-0.146
1.238,-5.442,-7.171,-0.072,-0.35,0.095
2.143,-5.55,-7.506,0.072,-0.098,-0.228
1.039,-5.55,-7.671,-0.039,-0.38,-0.007
1.465,-5.365,-7.226,-0.108,-0.233,-0.131
1.652,-5.301,-7.106,-0.159,-0.523,-0.254
1.642,-5.624,-7.477,-0.197,-0.531,-0.148
0.809,-5.593,-7.312,-0.326,-0.428,0.161
0.275,-5.442,-8.684,-0.074,-0.229,-0.076
0.448,-5.413,-7.812,-0.273,-0.216,-0.144
0.369,-5.248,-8.435,-0.163,0.49,0.011
0.208,-4.887,-8.801,-0.179,1.909,0.023
3.508,-4.693,-7.626,0.003,2.34,0.37
