ax,ay,az,gx,gy,gz
-9.2,-17.687,3.449,-2.474,4.686,-2.199
-9.754,-18.87,11.023,-0.985,2.783,-0.999
-12.405,-18.446,6.411,1.149,-0.082,0.187
-10.653,-20.988,-3.393,2.367,-2.321,1.815
-10.011,-12.092,-6.998,1.65,-4.958,3.265
-8.345,-10.69,-14.627,1.688,-5.603,1.538
-9.498,-7.522,-17.76,1.782,-4.226,-0.214
-5.522,-7.331,-17.103,1.71,-2.22,-1.287
-6.593,-8.098,-15.414,1.437,-1.404,-0.904
-6.349,-7.325,-12.185,1.322,-0.023,-0.417
-3.117,-8.799,-13.196,1.061,1.139,0.487
-0.385,-13.779,-19.882,-0.102,0.887,1.168
-5.29,-15.666,-22.576,-2.176,0.296,2.367
-9.115,-15.832,-18.199,-4.07,1.718,2.171
-9.011,-14.65,-11.288,-4.662,2.975,0.235
-16.651,-18.56,-3.759,-4.959,1.0,-0.79
-19.943,-16.069,9.484,-3.81,2.029,0.09
-14.146,-17.177,14.095,-1.991,1.532,0.42
-10.766,-16.94,9.864,-0.049,-1.552,1.34
-9.319,-16.024,1.926,0.971,-4.358,3.404
-3.742,-10.747,-3.994,1.858,-4.243,3.786
-3.431,-8.598,-11.503,2.467,-5.043,1.847
-5.166,-7.888,-14.232,2.863,-4.253,0.043
-5.162,-7.666,-23.495,2.924,-2.963,-1.519
-6.792,-9.072,-22.302,2.271,-1.849,-1.583
-5.575,-7.181,-20.309,1.897,-0.198,-1.062
-4.415,-9.719,-21.986,1.098,0.562,-0.018
-4.896,-10.446,-27.091,-0.044,0.947,1.244
-8.245,-10.584,-19.782,-1.731,1.279,2.736
-9.531,-9.427,-17.034,-2.717,2.972,2.353
-8.682,-9.221,-12.773,-3.452,4.698,0.367
-11.266,-14.289,-8.018,-3.397,4.836,-1.629
-11.561,-13.523,4.501,-2.853,4.594,-1.562
-8.219,-16.32,9.573,-1.545,3.467,-0.961
-9.173,-18.011,5.316,-0.316,0.24,0.328
-7.753,-16.975,-0.764,0.838,-2.319,2.403
-4.037,-8.854,-4.083,1.129,-4.386,3.702
-4.098,-7.463,-10.979,1.655,-5.377,2.297
-5.569,-5.569,-16.137,1.949,-5.022,0.374
-3.819,-4.92,-15.583,1.977,-3.618,-1.08
-6.045,-6.446,-14.509,1.847,-2.905,-1.546
-6.696,-6.34,-14.919,1.965,-1.541,-1.262
-6.194,-9.37,-20.814,1.214,-0.727,-0.344
-9.039,-11.074,-25.721,-0.491,-0.506,1.415
-11.08,-11.387,-23.755,-2.189,1.076,2.427
-10.346,-10.835,-19.371,-3.449,2.921,1.256
-12.106,-19.97,-15.236,-3.849,4.3,-0.557
-14.099,-17.918,-3.342,-3.723,4.82,-0.731
-9.122,-17.751,7.807,-2.588,4.926,-1.008
-5.264,-17.132,6.919,-1.124,2.18,-0.839
-7.062,-16.494,2.399,-0.236,-1.313,1.069
-4.685,-4.687,0.74,-0.156,-3.885,2.65
-2.819,-2.922,-3.628,0.408,-5.015,1.743
-4.947,-0.849,-8.022,1.114,-5.584,-0.027
-9.552,-1.461,-9.025,1.62,-4.673,-1.581
-9.407,-2.933,-8.369,2.482,-2.164,-2.64
-9.175,-6.785,-19.07,3.119,-0.523,-2.68
