ax,ay,az,gx,gy,gz
-12.409,-4.343,0.339,3.601,-4.089,-2.499
-5.96,-10.858,1.461,3.495,-1.317,-2.236
-2.738,-16.054,3.224,2.897,0.223,-2.033
1.191,-16.848,1.747,1.837,1.96,-1.545
3.445,-14.718,0.893,0.869,2.378,-0.896
2.458,-11.322,0.454,0.381,1.661,-0.522
1.534,-8.941,0.278,0.141,0.678,-0.13
-0.617,-8.43,0.312,0.19,-0.182,0.09
-1.091,-8.505,0.319,0.257,-0.41,0.131
-0.2,-9.058,0.43,0.304,-0.703,0.028
2.611,-10.203,1.521,0.209,-0.946,-0.069
5.222,-14.041,2.154,-0.078,-1.966,-0.078
5.938,-19.217,3.191,-0.696,-1.837,0.157
4.049,-21.482,5.083,-1.647,-0.281,0.784
3.27,-10.961,9.08,-3.42,1.679,2.287
-2.325,1.637,10.918,-4.252,3.915,2.678
-2.117,8.701,15.307,-3.441,3.145,2.339
-6.663,19.654,10.584,-2.584,2.192,1.469
-6.437,25.403,9.006,-0.754,-0.67,0.263
-10.757,14.955,6.461,2.164,-3.655,-1.668
-8.682,0.869,5.444,4.086,-4.803,-2.219
-10.956,-5.128,0.894,4.072,-1.904,-2.024
-6.447,-12.923,5.789,4.053,0.422,-1.637
-2.969,-16.652,6.567,3.252,2.287,-1.328
1.181,-16.53,5.111,2.089,3.89,-0.958
3.2,-13.723,3.602,0.979,3.378,-0.699
2.641,-10.564,2.72,0.399,2.044,-0.601
2.441,-8.342,1.304,0.171,0.778,-0.354
0.924,-8.203,0.562,0.173,-0.041,-0.135
1.896,-8.857,1.394,0.204,-0.803,-0.129
2.841,-11.174,3.337,0.216,-1.882,-0.35
4.363,-15.663,6.045,-0.082,-3.179,-0.417
2.213,-20.697,7.821,-0.866,-3.72,-0.372
0.159,-22.21,9.996,-2.225,-2.2,0.235
-1.625,-9.704,12.329,-4.012,-0.056,1.679
-1.055,3.158,14.183,-4.611,2.684,2.176
-1.449,10.989,15.286,-3.693,2.416,1.952
-3.07,20.378,9.975,-2.703,2.079,1.44
-2.681,25.068,6.994,-0.68,-0.259,0.466
-4.914,13.154,4.015,1.996,-3.209,-1.269
-8.766,1.05,0.657,3.453,-4.95,-1.948
-9.687,-4.811,-2.376,3.402,-2.47,-1.803
-5.394,-11.524,1.682,3.633,-1.007,-1.521
-2.479,-15.569,2.526,2.972,0.522,-1.314
0.837,-15.94,2.111,1.974,1.977,-1.04
2.937,-14.517,1.54,1.056,2.133,-0.593
2.824,-12.154,1.045,0.502,1.224,-0.358
2.263,-9.879,0.59,0.03,0.532,-0.14
1.046,-9.142,0.375,-0.092,-0.208,0.036
1.022,-9.387,0.621,-0.121,-0.862,0.1
1.458,-10.496,0.991,-0.254,-1.494,-0.019
2.922,-13.877,2.055,-0.519,-2.175,-0.305
3.056,-19.317,3.256,-1.048,-2.443,-0.466
0.846,-23.443,5.143,-1.62,-1.337,-0.286
0.016,-15.981,7.464,-3.25,0.812,1.481
-4.71,-0.679,3.235,-4.126,3.029,1.909
0.332,5.728,5.895,-3.432,2.78,1.846
-2.281,15.731,1.019,-2.808,2.009,1.437
-2.157,23.592,-1.012,-1.651,-0.149,0.83
-5.495,17.66,-3.098,0.797,-3.267,-1.327
-3.71,2.041,1.191,2.72,-5.212,-2.103
-10.193,-4.341,-2.264,2.796,-3.77,-2.117
-7.95,-10.797,1.427,3.133,-1.716,-1.956
-4.066,-15.353,2.551,2.739,0.463,-1.642
0.119,-16.654,1.951,2.067,1.745,-1.286
2.193,-15.212,1.587,1.155,2.219,-0.822
2.173,-11.768,1.384,0.628,2.005,-0.469
2.173,-9.726,1.502,0.225,1.071,-0.062
0.099,-8.691,0.484,0.075,0.12,0.136
-0.483,-8.419,0.547,0.029,0.128,0.289
0.05,-9.028,0.378,0.084,-0.232,0.225
1.73,-11.524,1.262,-0.007,-0.773,-0.01
3.521,-16.0,2.3,-0.383,-1.693,-0.427
3.621,-21.053,4.316,-0.877,-2.216,-0.807
1.635,-23.508,6.428,-1.56,-1.47,-0.462
-0.505,-13.329,8.989,-3.33,0.362,1.336
-1.404,2.281,8.756,-3.863,2.526,1.766
-1.672,10.642,6.928,-3.194,1.765,1.742
-1.557,20.207,1.117,-2.736,1.846,1.756
-1.814,25.882,-2.337,-1.452,-0.133,1.165
-3.902,16.403,-4.912,1.083,-2.825,-0.703
-6.114,2.206,-4.963,2.575,-4.574,-1.0
-7.823,-4.026,-3.857,2.871,-2.677,-0.771
-6.807,-10.714,0.364,3.43,-1.608,-0.678
-3.259,-15.139,1.367,3.05,-0.079,-0.716
1.152,-15.733,0.971,2.386,1.129,-0.739
3.055,-14.687,0.202,1.525,1.208,-0.65
3.328,-12.306,-0.158,0.965,0.932,-0.357
2.04,-9.98,-0.927,0.452,0.402,-0.039
1.197,-8.955,-0.717,0.258,0.117,0.269
0.516,-9.02,-0.446,0.082,-0.315,0.492
1.241,-10.077,0.209,-0.066,-0.692,0.457
3.182,-13.63,1.595,-0.321,-1.355,0.05
4.74,-19.537,4.062,-0.755,-2.294,-0.804
2.413,-23.599,7.084,-1.35,-2.973,-1.25
0.3,-23.744,9.069,-2.39,-1.162,-0.274
2.759,-6.136,8.903,-4.012,0.886,0.662
8.261,6.052,9.694,-3.873,2.619,1.053
6.659,17.214,4.536,-3.328,2.088,1.504
6.351,26.003,-0.461,-2.325,1.368,1.499
4.702,28.437,-2.791,-0.4,-1.292,0.235
-1.893,10.743,-2.159,2.259,-3.752,-0.989
-10.443,0.614,-3.462,3.183,-4.345,-1.286
-9.794,-6.901,0.064,3.636,-2.048,-1.055
-6.539,-13.362,2.586,3.566,-0.025,-0.79
-1.664,-16.425,3.182,2.805,1.333,-0.608
1.813,-15.571,1.89,1.851,2.182,-0.296
3.443,-14.025,0.947,0.96,1.981,-0.081
3.382,-11.796,0.464,0.443,0.984,-0.062
2.712,-9.772,0.305,0.142,0.222,0.043
1.673,-9.063,0.216,0.081,-0.445,0.091
1.528,-10.089,1.02,0.022,-1.031,0.023
2.088,-12.65,2.253,-0.228,-1.822,-0.325
2.354,-16.218,3.906,-0.853,-2.784,-0.797
1.131,-20.235,6.012,-1.473,-3.335,-1.335
