ax,ay,az,gx,gy,gz
5.18,-6.099,1.327,2.906,-1.296,-1.139
8.953,-6.982,2.03,2.746,-1.401,-2.166
11.912,-8.714,3.272,2.463,-1.984,-3.131
15.635,-11.689,5.369,2.092,-2.641,-3.873
17.369,-17.978,8.933,0.89,-3.394,-3.807
20.588,-21.003,15.312,-1.224,-4.384,-2.293
23.653,-19.317,22.835,-3.508,-4.442,0.266
29.349,-15.489,26.306,-5.574,-3.498,2.979
32.803,-2.858,27.506,-6.748,-2.564,5.354
34.296,10.824,23.014,-5.845,-0.337,7.255
31.135,17.07,15.241,-3.438,1.556,7.571
27.081,16.684,6.063,-0.497,2.66,6.667
19.637,11.314,1.447,2.011,1.713,5.352
12.483,-0.371,-1.437,3.284,0.567,4.097
8.648,-8.668,0.41,3.062,-1.486,2.821
6.667,-12.518,2.629,2.091,-2.987,1.833
4.413,-12.99,3.717,0.764,-3.823,1.17
3.214,-9.555,3.688,-0.113,-3.671,0.777
2.438,-6.968,3.308,-0.314,-3.204,0.476
1.532,-5.708,2.646,-0.032,-2.633,-0.001
1.527,-5.065,2.379,0.488,-1.939,-0.603
2.379,-5.315,2.722,0.988,-1.541,-1.303
4.518,-5.498,2.789,1.473,-0.923,-2.089
9.021,-6.028,2.923,1.963,-1.126,-2.826
12.817,-7.425,2.945,2.101,-1.659,-3.469
16.632,-9.841,4.274,2.034,-2.403,-4.064
18.067,-13.41,8.195,1.408,-3.281,-4.244
20.333,-16.662,12.687,-0.246,-4.033,-3.274
20.446,-16.244,18.315,-2.447,-4.085,-0.992
22.603,-11.43,24.222,-4.601,-3.26,1.692
23.719,-7.126,26.548,-6.157,-2.457,4.423
25.583,3.244,24.265,-6.682,-0.576,6.269
27.099,12.192,18.673,-5.894,1.19,6.503
26.65,15.649,10.522,-4.307,1.974,5.314
23.599,13.904,2.394,-2.166,1.877,3.657
21.025,11.302,-2.055,-0.134,1.945,2.122
18.664,3.753,-3.452,1.305,0.336,1.472
13.248,-2.349,-1.513,2.267,-1.903,1.456
9.229,-6.29,1.09,2.818,-2.689,1.484
6.343,-8.598,3.203,2.814,-2.848,1.482
3.665,-8.378,3.474,2.302,-3.209,1.105
2.117,-7.511,2.444,1.876,-2.741,0.225
3.277,-7.41,1.223,1.7,-2.022,-0.602
5.389,-6.961,0.972,1.647,-1.758,-1.349
8.677,-6.477,1.645,1.846,-2.342,-2.06
10.869,-7.466,2.23,2.056,-2.767,-2.897
15.08,-11.251,3.298,2.155,-3.142,-3.818
16.233,-18.582,8.135,1.117,-3.598,-4.272
21.24,-20.77,15.959,-1.083,-4.458,-3.019
23.25,-19.26,23.047,-3.419,-4.026,-0.648
27.239,-14.444,27.79,-5.677,-3.343,2.101
26.826,-5.53,32.216,-6.945,-2.552,4.999
29.36,9.146,26.448,-6.672,-0.464,6.475
25.895,15.003,17.262,-4.906,0.902,5.865
24.129,15.435,7.025,-2.888,1.515,3.912
21.695,12.48,0.545,-0.656,1.782,2.022
20.297,7.645,-5.144,0.763,1.241,0.413
16.916,0.878,-3.726,1.805,-0.532,-0.065
14.849,-2.368,-1.715,2.562,-1.725,0.078
11.157,-3.826,1.435,3.225,-3.277,0.359
5.982,-4.919,3.986,3.851,-3.765,0.214
3.225,-4.956,4.808,4.25,-2.909,-0.189
3.147,-5.582,3.278,4.255,-2.133,-0.714
4.855,-6.621,0.489,3.937,-1.505,-1.544
7.967,-7.203,0.305,3.552,-0.008,-2.134
12.407,-7.249,0.445,2.883,-0.835,-2.634
14.606,-8.977,1.786,2.18,-2.006,-3.407
15.814,-11.51,6.749,1.447,-2.165,-4.132
15.855,-15.853,13.454,-0.122,-2.087,-3.71
16.503,-16.453,19.595,-2.418,-2.804,-2.178
17.68,-13.127,24.361,-4.607,-2.004,0.301
20.523,-8.86,27.422,-5.822,-1.339,2.938
20.379,1.079,25.216,-6.338,-0.499,4.57
22.458,11.297,18.976,-5.673,0.684,4.58
23.004,14.31,10.126,-4.175,1.008,3.362
22.217,12.565,1.887,-2.305,1.301,1.606
20.003,9.941,-3.231,-0.995,1.14,0.359
18.411,3.308,-4.624,0.01,-0.083,0.218
13.969,-1.805,-2.692,0.967,-1.468,0.802
9.601,-3.752,-0.146,1.792,-2.206,1.318
5.04,-4.326,1.65,2.219,-2.383,1.358
1.871,-4.178,1.305,2.511,-1.737,0.924
1.626,-4.261,0.645,2.816,-0.791,-0.057
4.555,-4.306,-0.31,3.226,0.359,-1.251
9.71,-4.988,1.09,3.506,0.371,-2.361
13.487,-6.304,2.257,3.433,-0.067,-3.231
19.141,-8.201,5.301,3.223,-0.631,-3.779
20.537,-13.648,11.327,2.1,-2.234,-3.5
20.143,-17.222,18.527,-0.486,-3.44,-2.059
19.0,-15.11,24.462,-3.089,-3.318,0.468
21.17,-12.403,28.778,-5.104,-2.938,3.111
19.729,-6.69,29.289,-6.274,-2.922,4.726
19.657,5.728,22.658,-6.384,-1.294,5.087
19.5,13.875,14.48,-4.897,-0.365,4.272
17.792,14.712,4.667,-3.094,0.483,2.314
15.86,13.926,-2.68,-1.339,1.46,0.303
16.395,10.037,-6.721,-0.235,1.803,-0.532
16.696,2.656,-5.966,0.738,0.936,-0.213
15.134,-2.112,-4.577,1.429,0.251,0.481
13.609,-4.354,-2.416,2.032,-0.667,1.327
9.868,-5.051,-0.216,2.544,-2.228,1.842
4.688,-4.867,0.607,2.913,-2.51,1.756
2.28,-4.61,0.882,3.071,-2.192,1.133
1.386,-5.168,0.718,3.055,-1.767,0.066
2.81,-5.528,-0.123,2.969,-0.808,-1.189
6.771,-6.038,0.019,3.107,-0.011,-2.126
11.028,-8.052,0.903,3.102,-0.45,-3.081
15.662,-12.07,2.327,2.951,-0.9,-3.862
18.538,-17.906,8.098,2.079,-2.443,-3.87
21.734,-18.785,16.292,0.313,-3.979,-2.265
22.881,-15.504,21.318,-1.767,-4.667,0.168
24.087,-11.135,24.163,-3.431,-3.89,2.959
22.674,-0.307,23.683,-4.638,-3.535,4.905
20.978,11.586,15.901,-4.52,-2.048,5.693
17.139,16.892,5.135,-3.316,-0.403,4.515
15.085,16.321,-2.723,-1.799,1.111,2.21
15.423,13.914,-7.145,-0.33,1.507,0.05
15.533,6.613,-7.683,1.054,1.3,-0.863
15.288,0.576,-5.211,1.922,0.986,-0.805
14.751,-4.132,-2.305,2.563,0.179,-0.128
12.346,-6.362,-0.041,2.955,-1.474,0.816
6.416,-6.89,0.632,3.057,-2.811,1.327
2.824,-6.467,-0.077,2.921,-2.753,1.147
1.607,-5.783,-0.397,2.753,-2.501,0.414
2.009,-4.869,-0.639,2.735,-1.743,-0.783
5.612,-3.15,-0.473,3.139,-0.688,-1.658
10.877,-2.003,1.016,3.711,-1.08,-2.253
14.656,-2.303,3.288,4.282,-2.073,-3.01
19.702,-4.39,6.348,4.694,-2.548,-3.609
22.294,-10.848,10.944,4.146,-3.775,-3.304
22.533,-16.651,15.761,2.062,-4.473,-2.121
21.977,-17.266,20.217,-0.46,-3.722,-0.156
23.952,-14.478,24.133,-2.987,-2.93,2.522
23.624,-8.626,25.446,-4.962,-1.948,4.813
24.102,5.249,21.842,-5.871,-0.081,5.827
24.7,16.434,13.068,-5.263,0.393,5.428
22.263,19.874,3.5,-3.744,0.501,3.875
