ax,ay,az,gx,gy,gz
-0.41,8.706,-1.8,0.195,-0.797,-0.096
-0.982,8.582,-1.807,0.179,-0.898,-0.091
-1.221,8.453,-1.877,0.123,-0.845,-0.036
-1.322,8.399,-1.922,0.056,-0.822,0.052
-1.339,8.439,-1.964,0.011,-0.812,0.177
-1.265,8.597,-2.043,0.014,-0.927,0.359
-1.257,8.725,-2.075,0.081,-1.195,0.536
-1.386,9.152,-2.031,0.22,-1.422,0.699
-1.271,9.221,-1.875,0.356,-1.746,0.819
-1.574,9.285,-1.918,0.448,-2.037,0.89
-1.611,9.229,-1.906,0.521,-2.01,0.873
-1.309,9.07,-1.85,0.572,-1.945,0.793
-0.981,8.637,-1.878,0.562,-1.971,0.701
-0.905,8.54,-1.989,0.546,-1.881,0.624
-0.626,8.489,-2.024,0.529,-1.686,0.596
