ax,ay,az,gx,gy,gz
-0.127,7.44,-7.192,-1.932,-0.656,0.528
-0.242,8.018,-6.529,-1.657,-0.701,0.481
-0.151,9.333,-5.963,-1.353,-0.77,0.533
-0.46,9.619,-5.299,-0.993,-0.888,0.415
-0.308,9.757,-4.704,-0.692,-0.708,0.194
0.105,9.637,-4.231,-0.411,-0.628,-0.066
0.489,9.442,-3.784,-0.186,-0.644,-0.245
0.697,8.498,-3.173,-0.004,-0.622,-0.433
0.944,8.543,-2.778,0.031,-0.504,-0.423
0.791,8.91,-2.573,0.056,-0.523,-0.286
0.625,9.171,-2.314,0.065,-0.406,-0.148
0.501,9.288,-2.042,0.096,-0.423,-0.089
0.131,9.25,-1.956,0.12,-0.495,-0.053
-0.132,8.977,-1.9,0.17,-0.589,-0.063
-0.41,8.706,-1.8,0.195,-0.797,-0.096
