ax,ay,az,gx,gy,gz
2.17,-18.656,4.703,-1.161,-2.414,-0.929
-0.722,-25.483,11.353,-2.392,-3.159,-1.661
-6.657,-26.924,17.529,-4.152,-2.502,-1.875
-9.617,-9.852,20.386,-5.775,-0.434,-0.959
-5.373,4.649,20.999,-5.226,-0.701,-0.516
-4.037,15.796,15.014,-4.461,-0.045,-0.426
2.323,28.591,5.263,-2.991,0.947,0.564
3.967,36.388,-2.351,-0.312,-1.332,1.307
-0.695,22.431,-3.547,2.56,-3.589,1.126
-10.748,10.036,-1.93,3.264,-2.428,1.362
-14.412,3.334,2.829,3.924,-1.657,2.07
-17.653,-4.007,7.829,4.28,-1.359,2.0
-13.548,-11.392,8.822,3.902,0.605,1.512
-6.72,-14.867,6.994,3.272,1.49,0.933
-2.449,-14.862,3.332,2.54,1.281,0.563
