ax,ay,az,gx,gy,gz
-1.716,-16.715,0.754,-1.802,0.615,-1.79
0.384,-19.326,1.183,-2.346,0.713,-1.884
2.01,-18.392,2.241,-2.736,1.661,-0.487
7.709,-0.099,4.89,-4.139,2.254,1.62
6.371,7.682,8.262,-3.252,0.604,2.528
3.707,14.603,6.438,-2.6,-1.108,1.381
0.419,23.14,4.491,-1.591,-1.406,1.101
-0.457,22.662,3.772,-0.731,-3.614,-0.528
-9.527,3.908,1.326,1.3,-5.565,-2.629
-9.584,-3.335,-1.73,1.343,-3.397,-3.003
-8.426,-8.167,0.12,1.853,-1.694,-1.094
-6.73,-14.835,1.793,1.815,-1.407,-0.575
-7.309,-14.977,1.252,1.777,0.091,-0.174
-3.876,-13.585,1.294,1.646,1.566,0.122
-3.981,-11.825,1.42,1.26,0.969,-0.06
