ax,ay,az,gx,gy,gz
1.638,-11.79,-4.086,-1.119,0.406,-1.201
1.876,-12.349,-3.774,-1.489,0.556,-0.573
1.8,-10.771,-3.479,-2.106,0.947,0.532
3.165,-4.646,-2.016,-3.41,1.761,2.293
2.784,2.928,-2.973,-3.224,1.212,3.148
1.258,4.104,-4.39,-2.862,0.337,2.609
1.051,9.219,-5.445,-2.142,0.303,1.761
2.237,11.413,-5.726,-1.031,0.203,0.521
1.735,8.405,-7.399,0.727,-0.688,-1.214
2.047,4.907,-7.152,1.035,-0.794,-2.172
1.924,6.658,-7.001,1.326,-1.06,-2.014
-0.238,3.996,-7.114,1.507,-1.398,-1.771
-2.107,1.323,-7.191,1.68,-2.092,-1.612
-4.171,-1.331,-7.089,1.916,-2.458,-1.581
-5.03,-4.638,-6.371,2.109,-1.934,-1.43
