ax,ay,az,gx,gy,gz
3.142,-5.536,-7.487,0.076,-0.35,-0.315
3.114,-5.545,-7.193,0.124,-0.216,-0.35
3.017,-5.531,-7.145,0.081,-0.138,-0.37
2.586,-5.654,-7.07,-0.028,-0.075,-0.389
2.307,-5.938,-7.143,-0.123,0.039,-0.422
2.018,-6.106,-6.774,-0.24,0.052,-0.456
2.093,-6.186,-7.077,-0.301,-0.096,-0.468
2.053,-6.335,-7.254,-0.224,-0.133,-0.451
2.172,-6.506,-7.469,-0.07,-0.165,-0.4
2.597,-6.646,-7.604,0.131,-0.236,-0.297
2.858,-6.849,-7.694,0.385,-0.402,-0.173
2.908,-7.099,-7.408,0.606,-0.553,-0.097
3.126,-7.319,-6.98,0.799,-0.653,-0.049
3.428,-7.574,-6.585,0.958,-0.794,-0.003
3.141,-7.716,-6.248,1.105,-0.812,0.05
