ax,ay,az,gx,gy,gz
12.374,1.398,-0.365,-0.498,0.038,-0.186
12.615,1.576,-0.029,-0.564,-0.353,-0.036
12.321,1.636,-0.012,-0.585,-0.585,0.072
12.193,1.76,0.055,-0.55,-0.659,0.108
11.613,1.725,0.112,-0.503,-0.656,0.115
10.758,1.31,0.117,-0.501,-0.568,0.085
10.906,1.221,0.357,-0.514,-0.362,-0.004
11.184,1.27,0.686,-0.601,-0.473,-0.044
10.957,1.237,0.751,-0.693,-0.533,-0.05
11.16,1.367,0.899,-0.739,-0.484,-0.063
11.074,1.579,0.98,-0.734,-0.489,-0.043
10.758,1.561,0.878,-0.699,-0.332,-0.004
10.745,1.543,0.82,-0.662,-0.062,0.011
10.958,1.58,0.765,-0.679,0.072,0.014
11.02,1.611,0.597,-0.741,0.206,-0.002
