ax,ay,az,gx,gy,gz
-7.727,-2.465,10.184,3.595,0.989,2.415
-8.282,-0.926,10.756,3.955,0.826,1.326
-7.378,0.569,13.072,4.255,0.119,0.641
-9.6,-0.776,16.909,4.59,-1.128,0.287
-10.468,-11.193,25.366,2.795,-0.218,0.281
-13.226,-14.756,38.89,0.342,0.864,-0.973
-21.456,-6.031,46.565,-2.418,0.309,-2.458
-22.119,5.228,46.902,-4.627,1.077,-3.06
-19.164,11.401,40.165,-5.392,1.138,-4.2
-18.504,23.265,29.279,-3.592,-0.201,-4.057
-17.393,23.568,14.181,-1.093,-0.866,-2.361
-7.431,12.651,5.841,1.315,0.299,0.195
-7.061,-0.793,3.269,3.317,0.204,1.503
-8.229,-5.512,6.19,3.786,1.774,3.072
-7.354,-7.415,8.797,3.919,2.859,3.541
