ax,ay,az,gx,gy,gz
-4.51,-5.404,6.71,2.18,1.622,2.889
-6.922,-5.32,6.047,2.131,0.561,3.525
-11.648,-12.137,9.196,1.742,0.03,3.214
-19.723,-18.144,13.866,-0.627,-0.322,1.212
-28.779,-14.419,22.976,-2.738,0.228,-1.145
-36.973,-5.054,31.161,-4.855,-0.315,-3.564
-32.89,5.978,32.467,-5.936,-0.109,-4.78
-28.468,18.499,28.34,-5.317,-0.861,-4.928
-24.799,24.281,24.135,-2.518,-1.377,-2.979
-16.595,19.893,14.901,-0.403,-1.735,-1.316
-9.092,8.461,6.813,1.777,-1.009,0.438
-11.909,-1.889,4.935,2.81,-0.559,1.098
-11.298,-6.387,6.212,2.756,1.178,1.617
-7.216,-5.738,6.452,2.343,1.843,1.907
-7.78,-3.277,6.923,2.742,1.43,3.051
