ax,ay,az,gx,gy,gz
2.319,-7.61,4.017,2.349,-2.56,-0.24
5.176,-7.044,2.979,2.483,-2.134,-1.033
7.584,-7.542,3.927,2.891,-2.119,-2.254
10.235,-11.037,8.522,2.951,-2.121,-3.679
15.995,-14.95,17.543,1.601,-3.543,-4.562
20.797,-13.038,27.136,-0.707,-3.54,-2.861
27.186,-8.729,37.744,-3.165,-3.887,-0.424
32.803,4.188,44.526,-5.764,-3.375,2.527
31.584,16.162,41.647,-7.656,-2.043,5.281
29.006,26.595,30.485,-7.203,0.248,6.799
25.764,26.672,18.248,-5.092,0.895,5.716
20.359,23.201,6.005,-2.631,1.781,4.271
14.69,11.46,-1.636,-0.063,1.516,2.814
14.919,3.48,-2.288,2.115,0.184,1.874
12.067,-2.47,0.857,3.198,-1.218,1.683
