ax,ay,az,gx,gy,gz
3.075,21.525,10.319,5.02,3.802,-5.478
11.196,25.108,19.293,5.864,5.206,-4.191
14.054,25.867,25.025,6.072,4.51,-2.583
19.963,15.799,31.536,5.595,4.587,0.007
19.953,5.71,39.877,2.94,2.401,2.338
17.492,-0.486,45.878,-0.552,-0.701,3.659
10.341,3.447,51.319,-3.538,-2.967,3.939
8.086,12.002,57.826,-5.996,-3.572,4.437
4.122,27.387,58.391,-8.112,-4.194,4.375
7.446,40.025,49.409,-8.838,-2.62,4.405
12.512,45.888,32.311,-7.796,-0.973,4.514
16.924,42.705,14.463,-5.694,0.542,4.303
20.855,33.455,1.413,-3.102,1.255,3.555
22.814,23.283,-3.46,-0.438,0.52,2.707
20.695,12.537,-2.262,1.782,-0.639,2.342
