ax,ay,az,gx,gy,gz
5.857,-5.04,-0.183,2.35,-2.578,-1.4
9.548,-4.465,-0.507,2.374,-2.732,-2.676
12.897,-4.304,-0.379,2.537,-2.593,-4.036
17.701,-5.753,3.614,2.861,-2.888,-5.049
21.048,-10.804,8.928,2.23,-2.616,-5.206
24.311,-14.559,17.18,0.184,-2.764,-3.418
26.476,-10.903,25.404,-2.249,-2.571,-0.614
29.007,-8.004,29.86,-4.512,-1.68,2.6
26.982,2.164,28.813,-6.326,-1.085,4.327
24.85,14.464,23.301,-6.749,-0.947,4.824
21.197,22.762,14.416,-5.501,-0.672,3.683
16.808,21.24,3.631,-3.742,0.621,1.882
14.632,19.415,-3.139,-1.996,0.67,0.128
14.837,11.019,-6.649,-0.526,0.793,0.068
14.43,3.312,-5.953,0.762,0.216,0.795
