ax,ay,az,gx,gy,gz
1.949,17.605,0.756,4.059,0.989,-4.701
6.86,27.238,10.874,5.742,2.931,-5.56
12.398,32.67,21.357,7.178,2.842,-5.8
21.276,29.91,29.395,6.824,3.483,-4.468
29.681,21.638,36.231,5.153,1.994,-1.87
31.979,15.663,43.565,2.021,-0.444,1.461
29.335,14.693,48.865,-1.472,-3.177,3.879
26.945,23.256,53.883,-4.964,-3.508,6.297
20.448,37.197,54.046,-7.117,-3.958,7.67
15.263,50.592,44.635,-8.253,-2.891,7.762
13.779,54.444,27.573,-6.984,-1.537,6.875
11.961,48.421,9.742,-4.513,-0.417,5.214
12.105,32.616,-3.886,-1.63,0.669,3.236
14.229,16.626,-8.46,0.647,0.339,1.649
13.485,3.229,-4.73,2.302,-0.066,0.904
