ax,ay,az,gx,gy,gz
-28.128,-7.08,10.345,-2.685,0.254,1.014
-38.312,-2.993,18.616,-3.79,1.156,-1.633
-40.972,5.086,23.123,-4.374,2.088,-4.463
-35.112,12.145,21.559,-4.181,2.117,-6.353
-25.112,19.892,17.089,-3.165,2.134,-5.664
-19.153,20.662,10.133,-1.498,0.698,-3.157
-11.091,14.463,2.22,0.082,0.122,-0.888
-9.53,4.468,-2.08,1.172,-0.275,1.254
-11.949,-3.226,-0.957,1.623,0.399,2.385
-11.91,-8.674,0.682,1.621,1.131,2.399
-8.963,-10.328,1.161,1.383,1.862,2.285
-6.937,-9.831,1.453,1.26,2.056,2.548
-5.73,-8.618,1.646,1.15,1.839,2.827
-4.904,-7.014,2.156,1.168,1.41,3.103
-4.551,-4.975,2.336,1.22,0.775,3.397
-4.885,-2.738,2.561,1.135,0.095,3.734
-6.61,-0.737,1.829,0.876,-0.701,3.977
-8.912,0.546,1.399,0.579,-1.047,4.238
-13.352,-0.216,1.574,0.006,-1.334,4.259
-21.266,-5.765,3.36,-0.938,-1.293,3.181
-30.067,-8.292,8.906,-2.349,-0.43,0.449
-39.129,-4.014,18.642,-3.622,1.278,-2.326
-42.689,4.146,23.643,-4.578,2.194,-5.008
-36.653,12.163,21.984,-4.526,2.4,-6.908
-27.605,21.782,18.465,-3.6,2.416,-6.252
-20.27,24.422,12.172,-1.698,1.186,-3.552
-12.948,17.549,3.204,0.065,0.067,-1.266
-7.796,6.687,-1.462,1.494,-0.329,0.907
-9.988,-2.291,0.199,2.056,0.199,2.508
-11.573,-8.584,2.175,2.064,0.583,2.596
-10.177,-11.115,2.875,1.654,1.689,2.152
-6.428,-11.03,2.681,1.323,2.138,2.247
-5.475,-10.138,2.69,1.002,2.08,2.478
-5.386,-9.128,2.116,0.885,1.752,2.577
-5.381,-8.096,1.876,0.88,1.243,2.467
-4.765,-6.517,1.639,0.808,0.551,2.386
-4.473,-4.099,1.131,0.652,-0.146,2.659
-4.885,-1.402,1.079,0.452,-0.63,3.2
-7.598,0.718,0.869,0.144,-0.931,3.958
-13.984,-0.54,2.25,-0.217,-1.331,4.385
-23.521,-5.514,5.702,-1.069,-0.955,3.127
-33.988,-5.381,13.832,-2.426,-0.009,0.473
-43.828,3.392,22.026,-3.869,1.256,-2.472
-41.092,11.848,24.543,-4.581,1.974,-5.4
-32.236,19.056,20.872,-4.354,2.189,-6.514
-23.818,26.381,16.29,-3.168,1.802,-5.205
-16.164,24.527,7.907,-1.446,1.176,-2.796
-6.376,13.23,-0.257,0.337,0.334,-0.41
-7.565,2.741,-2.322,1.435,-0.288,1.85
-11.336,-4.281,0.401,1.761,0.126,2.577
-10.569,-8.394,1.864,1.706,0.627,2.408
-7.975,-8.861,1.471,1.786,1.042,2.295
-7.296,-8.579,2.649,1.924,1.371,2.592
-6.075,-8.44,3.195,1.758,1.51,2.777
-4.835,-6.334,3.128,1.584,1.241,3.232
-5.401,-3.745,3.239,1.455,0.727,3.809
-7.815,-1.627,4.26,1.32,-0.498,4.103
-9.752,-0.708,3.179,1.193,-1.235,3.969
-12.545,-0.186,3.844,1.162,-1.555,3.943
-18.265,-4.092,6.347,0.697,-1.427,3.327
-24.304,-8.109,10.858,-0.657,-0.773,1.372
-30.498,-7.191,19.526,-2.631,0.577,-1.219
-37.039,-0.573,27.524,-4.617,1.548,-3.768
-34.698,7.686,27.853,-5.869,2.136,-6.006
-28.02,17.001,23.618,-5.677,1.91,-6.481
-22.44,22.926,17.948,-4.074,1.23,-5.013
-16.422,20.628,9.32,-1.713,0.409,-2.666
-9.431,12.278,2.055,0.531,-0.108,-0.369
-9.828,1.843,1.021,2.105,-0.108,1.546
-10.565,-5.844,2.399,2.444,0.294,2.199
-9.5,-9.534,2.809,2.33,0.904,2.316
-7.596,-9.842,2.792,2.053,1.127,2.606
-7.513,-8.728,2.314,1.917,1.328,2.812
-6.867,-7.339,2.613,1.788,1.236,3.169
-7.511,-5.956,3.056,1.75,1.01,3.402
-8.314,-5.208,3.449,1.599,0.436,3.425
-8.833,-4.678,2.896,1.341,0.13,3.113
-8.868,-4.765,2.199,1.02,-0.28,2.957
-10.168,-5.018,1.753,0.539,-0.338,2.817
-14.761,-7.865,4.068,-0.144,-0.59,2.249
-20.962,-10.55,9.039,-1.517,-0.521,0.28
-29.137,-8.393,17.114,-3.342,-0.134,-2.045
-33.109,0.073,22.113,-5.091,0.537,-4.391
-28.941,7.972,21.235,-5.442,0.357,-6.001
-24.434,15.836,17.571,-4.722,0.409,-5.825
-18.793,19.898,12.326,-3.0,0.38,-3.706
-12.7,16.309,4.922,-0.702,-0.016,-1.402
-8.723,6.249,0.907,1.501,-0.324,0.814
-11.716,-2.185,1.921,2.357,0.087,2.224
-11.545,-7.754,2.853,2.375,0.679,2.434
-10.297,-10.229,3.998,2.129,1.448,2.376
-7.239,-9.404,4.226,1.796,1.936,2.649
-6.833,-8.538,4.412,1.659,1.563,2.802
-6.247,-7.273,4.099,1.627,1.296,2.916
-5.291,-5.975,3.861,1.468,0.872,3.136
-5.435,-3.706,2.924,1.245,0.213,3.457
-7.282,-2.151,2.491,1.049,-0.272,3.603
-10.678,-1.475,1.79,0.675,-0.262,3.736
-16.976,-4.534,3.967,0.135,-0.417,3.076
-24.522,-7.236,9.049,-1.014,-0.1,0.9
-33.216,-5.625,17.766,-2.802,0.212,-1.8
