ax,ay,az,gx,gy,gz
0.014,-20.223,4.91,-1.2,-1.011,-1.235
-2.09,-21.888,6.579,-2.62,-0.246,-1.284
-4.517,-15.439,8.986,-4.293,1.529,-0.701
-0.271,0.955,11.431,-4.808,3.337,0.886
2.692,12.967,15.13,-4.616,2.103,0.923
-3.673,20.929,15.207,-3.07,0.716,0.438
-4.083,23.522,15.658,-0.99,0.26,0.161
-1.641,10.781,12.597,1.589,-0.884,-0.43
-5.723,-6.044,9.986,3.068,-1.751,-1.699
-7.682,-15.129,4.525,3.556,0.765,-0.926
0.935,-19.855,3.362,3.048,2.444,0.216
3.852,-21.116,1.227,2.376,1.872,0.499
3.327,-14.657,2.021,1.539,0.966,0.474
2.6,-11.798,1.252,0.548,-0.113,0.292
1.583,-11.624,1.737,0.033,-1.152,-0.211
2.409,-14.259,2.577,-0.476,-1.673,-0.727
1.932,-19.373,4.608,-1.138,-1.949,-1.111
-0.467,-22.251,5.07,-2.21,-1.58,-1.016
-3.059,-18.617,7.631,-3.859,0.366,-0.064
-1.151,0.152,8.784,-4.674,2.382,1.085
3.515,12.129,11.745,-4.276,1.224,1.338
-1.63,20.688,14.445,-1.934,0.066,0.043
-3.147,20.474,16.137,-0.276,0.758,-0.378
1.445,12.947,12.965,2.174,0.296,-1.149
0.362,-6.875,10.85,3.627,-0.912,-2.152
-3.732,-15.927,6.977,3.787,1.303,-1.929
1.916,-19.479,2.391,2.155,2.558,-0.103
5.216,-16.274,0.093,1.641,1.305,0.382
2.492,-12.402,0.43,0.904,0.167,0.401
1.511,-10.975,0.531,0.314,-0.065,0.484
1.303,-14.865,1.429,-0.076,-0.47,-0.048
1.735,-20.535,2.94,-0.699,-0.697,-1.085
0.611,-24.612,5.689,-1.715,-0.348,-1.552
-1.343,-23.568,7.31,-3.429,0.853,-0.953
-0.673,-5.958,8.167,-5.095,2.293,0.667
4.842,7.592,9.758,-4.657,0.484,1.212
2.402,17.88,7.068,-3.162,-0.544,0.625
