ax,ay,az,gx,gy,gz
26.487,-4.531,-12.5,0.025,0.982,-1.342
30.157,-3.665,-11.496,0.573,-1.079,0.648
23.493,-7.562,-6.994,0.478,-4.572,1.47
14.911,-3.482,-5.018,0.149,-6.148,0.934
12.762,1.31,-3.019,-1.024,-7.235,-0.434
7.184,5.887,1.606,-0.487,-6.098,-1.135
3.064,10.203,2.672,-0.042,-3.327,-1.271
3.617,13.416,-0.101,0.327,0.165,0.235
7.458,9.318,1.132,0.688,3.656,1.764
6.352,2.96,-1.79,2.155,5.941,2.731
6.239,-2.853,-5.889,1.676,5.671,1.99
9.155,-7.461,-7.741,1.174,6.393,0.486
16.337,-9.584,-11.982,0.498,4.195,-0.732
16.664,-10.533,-15.85,0.261,1.3,-0.741
18.318,-10.781,-16.209,0.46,-0.985,-0.146
