ax,ay,az,gx,gy,gz
-1.062,-10.468,-8.603,-1.175,-0.801,-0.698
-3.409,-11.296,-8.301,-1.472,-1.233,-1.336
-5.149,-10.67,-7.182,-1.812,-1.462,-2.602
-4.18,-1.233,-7.528,-2.019,-2.81,-4.229
-5.472,8.046,-7.431,-1.858,-2.165,-5.526
5.569,9.734,-4.952,-1.985,-1.184,-3.955
7.839,15.373,-4.222,-1.742,-1.172,-2.236
11.077,18.425,-4.151,-1.383,0.335,0.365
12.628,11.256,-2.959,-1.169,2.269,3.094
15.109,3.035,-2.809,-1.041,1.841,5.333
5.709,2.2,-5.447,-0.359,1.725,4.689
6.335,-3.316,-6.231,0.107,2.429,4.325
4.882,-7.088,-7.398,0.522,1.042,3.602
1.322,-9.581,-7.55,0.844,0.306,2.789
0.082,-10.53,-7.447,0.751,0.378,1.95
