ax,ay,az,gx,gy,gz
1.595,-14.434,-10.011,-0.789,-1.335,-0.495
-0.823,-18.578,-9.878,-1.295,-2.26,-1.411
-5.162,-17.419,-7.238,-2.217,-3.859,-3.168
-8.879,2.303,-7.911,-2.535,-4.659,-4.674
-2.846,-1.613,-0.598,-1.911,-2.172,-3.297
1.721,9.739,1.377,-1.94,-1.292,-1.798
3.782,16.854,0.451,-1.649,-0.24,0.163
7.642,17.97,-1.782,-0.816,1.956,2.938
11.085,-0.792,2.359,0.029,3.815,4.988
5.445,4.104,-4.151,0.176,2.477,3.791
2.535,-7.635,-7.251,0.477,2.137,2.233
4.263,-12.63,-7.572,0.607,2.232,0.748
8.031,-13.717,-5.932,0.523,1.391,-0.399
10.515,-10.951,-4.611,0.281,0.39,-0.245
11.18,-8.065,-2.061,-0.126,-0.148,0.291
