ax,ay,az,gx,gy,gz
20.858,5.106,-12.217,0.03,-0.785,-0.194
19.749,4.997,-11.808,0.98,-2.863,-1.014
17.609,4.627,-9.018,1.825,-4.564,-2.557
16.528,7.069,-6.222,2.653,-6.246,-4.254
14.007,9.971,-2.487,2.031,-6.379,-5.715
11.321,8.882,1.24,1.707,-5.258,-5.01
11.392,11.434,4.838,0.711,-4.011,-3.154
9.398,14.152,3.022,0.124,-1.998,0.049
7.526,10.509,0.179,-1.053,1.494,3.469
7.608,7.533,-1.643,-1.274,3.63,6.065
8.315,7.947,-4.705,-1.629,4.562,5.923
9.124,5.369,-8.12,-1.556,5.548,5.004
13.832,2.82,-9.623,-1.779,5.243,3.444
16.825,4.026,-9.858,-1.32,3.312,1.713
18.69,3.988,-11.409,-0.481,1.373,0.592
