ax,ay,az,gx,gy,gz
25.554,-6.369,-11.195,-0.3,1.384,-0.846
27.347,-6.375,-9.664,-0.27,-1.482,1.128
20.525,-9.286,-3.736,-0.541,-4.362,1.467
16.105,-5.369,-3.403,-1.237,-5.709,0.299
13.584,4.652,-6.348,-1.468,-6.597,-0.294
7.556,11.922,-1.574,-0.281,-5.138,-0.44
2.589,14.239,1.993,0.143,-1.646,-0.423
6.361,16.405,-1.335,0.245,1.847,0.502
8.588,11.539,-2.164,1.275,4.336,1.913
7.678,-1.103,0.696,2.02,6.146,1.591
8.05,-5.986,-1.865,0.947,6.395,-0.181
15.245,-9.215,-5.957,0.165,5.364,-1.845
17.444,-8.612,-8.361,-0.212,2.937,-2.439
19.067,-8.294,-9.804,-0.46,1.552,-1.966
24.036,-7.324,-11.233,-0.62,0.175,-0.575
