ax,ay,az,gx,gy,gz
10.096,-12.774,-4.142,-0.297,-1.977,0.127
8.9,-13.474,-3.308,-0.377,-3.41,0.039
7.765,-12.875,-2.144,-0.903,-4.918,-0.625
7.38,-9.083,-0.757,-1.949,-6.393,-1.71
5.369,-1.499,0.341,-3.277,-7.553,-2.226
1.108,4.637,0.364,-3.116,-6.669,-2.306
-0.403,10.326,-0.718,-2.118,-3.417,-1.852
0.036,12.726,-0.321,-0.735,-0.014,-0.364
0.196,9.706,-0.436,0.619,3.479,1.249
1.377,4.036,-0.301,2.15,6.532,1.953
5.398,-1.105,0.173,2.275,7.53,1.664
7.736,-5.359,0.97,1.71,7.135,0.749
9.685,-7.29,0.793,1.314,6.64,-0.86
14.454,-7.63,0.511,1.307,5.333,-2.082
17.823,-8.067,1.459,1.145,3.406,-2.504
