ax,ay,az,gx,gy,gz
1.853,-9.333,-8.527,-1.587,-2.045,0.848
-1.419,-12.953,-9.91,-1.684,-2.47,0.114
-6.411,-15.424,-9.054,-1.962,-3.823,-1.358
-9.503,-11.948,-6.313,-2.834,-4.143,-3.581
-8.148,1.632,-3.463,-2.42,-2.246,-4.54
-0.856,2.433,-1.546,-3.197,-1.243,-2.582
-0.415,11.074,-1.216,-3.101,-1.07,-0.511
2.958,16.883,-1.979,-2.523,0.967,1.622
5.846,14.167,-2.992,-1.224,2.485,4.222
5.953,0.52,-3.63,-1.158,2.538,5.223
0.843,-0.777,-5.043,0.111,2.006,3.1
3.001,-7.381,-7.627,0.427,2.923,0.893
9.3,-11.828,-7.119,0.437,2.309,-0.047
10.771,-12.68,-6.683,0.218,1.292,-0.399
11.735,-10.874,-5.732,0.078,0.608,0.082
